round,accuracy,precision,recall,F1score
1,0.86,0.7421875,0.789473684,0.765100671
2,0.8696,0.839041096,0.67867036,0.750382848
3,0.876,0.766839378,0.819944598,0.792503347
4,0.8808,0.821212121,0.750692521,0.784370478
5,0.8896,0.795755968,0.831024931,0.81300813
6,0.8944,0.831884058,0.79501385,0.813031162
7,0.8944,0.808625337,0.831024931,0.819672131
8,0.8968,0.833333333,0.8033241,0.818053597
9,0.8952,0.809139785,0.833795014,0.821282401
10,0.8976,0.833810888,0.806094183,0.81971831
11,0.8952,0.8125,0.828254848,0.820301783
12,0.8968,0.827683616,0.811634349,0.81958042
13,0.896,0.814713897,0.828254848,0.821428571
14,0.8952,0.824858757,0.808864266,0.816783217
15,0.8984,0.819672131,0.831024931,0.825309491
16,0.9,0.837142857,0.811634349,0.82419128
17,0.9,0.824175824,0.831024931,0.827586207
18,0.9,0.837142857,0.811634349,0.82419128
19,0.9016,0.830555556,0.828254848,0.829403606
20,0.9048,0.845714286,0.819944598,0.832630099
21,0.9056,0.834710744,0.83933518,0.837016575
22,0.9048,0.845714286,0.819944598,0.832630099
23,0.904,0.841359773,0.822714681,0.831932773
24,0.9064,0.852601156,0.817174515,0.834512023
25,0.9048,0.84180791,0.825484765,0.833566434
26,0.904,0.841359773,0.822714681,0.831932773
27,0.9032,0.833333333,0.831024931,0.832177531
28,0.904,0.83943662,0.825484765,0.832402235
29,0.9032,0.831491713,0.833795014,0.83264177
30,0.9064,0.842696629,0.831024931,0.836820084
31,0.9032,0.831491713,0.833795014,0.83264177
32,0.904,0.83943662,0.825484765,0.832402235
33,0.9048,0.836111111,0.833795014,0.834951456
34,0.9048,0.84180791,0.825484765,0.833566434
35,0.9048,0.836111111,0.833795014,0.834951456
36,0.9056,0.842253521,0.828254848,0.835195531
37,0.9048,0.836111111,0.833795014,0.834951456
38,0.9016,0.838068182,0.817174515,0.827489481
39,0.9008,0.831932773,0.822714681,0.82729805
40,0.9016,0.836158192,0.819944598,0.827972028
41,0.9024,0.831024931,0.831024931,0.831024931
42,0.9024,0.838526912,0.819944598,0.829131653
43,0.904,0.837535014,0.828254848,0.832869081
44,0.9048,0.83988764,0.828254848,0.834030683
45,0.904,0.837535014,0.828254848,0.832869081
46,0.904,0.83943662,0.825484765,0.832402235
47,0.904,0.833795014,0.833795014,0.833795014
48,0.9048,0.83988764,0.828254848,0.834030683
49,0.9056,0.836565097,0.836565097,0.836565097
50,0.904,0.835654596,0.831024931,0.833333333
